order_item_id,order_id,product_id,quantity
900001,500001,1241,2
900002,500002,1733,3
900003,500003,1444,1
900004,500004,1852,1
900005,500004,1561,3
900006,500005,1406,2
900007,500006,1584,2
900008,500007,1236,1
900009,500007,1635,1
900010,500008,1336,1
900011,500009,1286,1
900012,500010,1591,1
900013,500011,1159,1
900014,500011,1623,1
900015,500012,1530,2
900016,500013,1207,1
900017,500014,1049,4
900018,500015,1129,1
900019,500015,1066,1
900020,500015,1935,1
900021,500016,1474,4
900022,500016,1754,5
900023,500017,1932,2
900024,500017,1286,2
900025,500018,1071,3
900026,500018,1935,1
900027,500018,1522,1
900028,500019,1729,2
900029,500019,1813,1
900030,500020,1557,1
900031,500021,1780,1
900032,500022,1583,1
900033,500022,1010,2
900034,500023,1598,2
900035,500024,1113,2
900036,500025,1360,1
900037,500025,1222,3
900038,500026,1569,5
900039,500026,1037,1
900040,500027,1061,3
900041,500028,1152,2
900042,500028,1679,3
900043,500029,1686,3
900044,500030,1821,2
900045,500031,1339,1
900046,500031,1870,2
900047,500031,1056,2
900048,500032,1733,1
900049,500032,1039,1
900050,500032,1321,1
900051,500033,1744,1
900052,500034,1159,1
900053,500034,1096,5
900054,500034,1196,1
900055,500035,1833,1
900056,500036,1061,1
900057,500037,1230,4
900058,500037,1925,1
900059,500037,1229,2
900060,500038,1312,2
900061,500039,1909,3
900062,500039,1380,1
900063,500040,1328,1
900064,500040,1574,3
900065,500041,1753,3
900066,500041,1854,2
900067,500041,1068,1
900068,500042,1984,3
900069,500043,1507,1
900070,500043,1075,3
900071,500044,1172,2
900072,500044,1389,2
900073,500045,1021,3
900074,500045,1631,1
900075,500046,1436,2
900076,500047,1405,1
900077,500048,1315,4
900078,500048,1581,4
900079,500049,1539,4
900080,500050,1352,2
900081,500051,1075,2
900082,500051,1404,2
900083,500052,1472,1
900084,500052,1224,1
900085,500053,1644,1
900086,500053,1375,3
900087,500054,1254,5
900088,500054,1840,2
900089,500055,1125,2
900090,500055,1939,3
900091,500056,1955,2
900092,500057,1509,2
900093,500057,1306,4
900094,500058,1345,1
900095,500059,1112,3
900096,500060,1034,1
900097,500061,1402,2
900098,500061,1182,3
900099,500062,1910,1
900100,500062,1734,1
900101,500062,1299,1
900102,500063,1227,1
900103,500064,1130,1
900104,500064,1641,1
900105,500065,1871,2
900106,500065,1292,3
900107,500065,1106,3
900108,500066,1003,2
900109,500067,1478,2
900110,500068,1859,0
900111,500069,1455,3
900112,500070,1907,5
900113,500070,1918,2
900114,500071,1615,2
900115,500072,1625,1
900116,500073,1063,2
900117,500073,1953,1
900118,500073,1907,1
900119,500074,1141,2
900120,500075,1571,1
900121,500076,1220,1
900122,500076,1515,2
900123,500077,1670,1
900124,500078,1361,1
900125,500079,1326,2
900126,500080,1551,2
900127,500080,1651,1
900128,500080,1741,3
900129,500081,1341,5
900130,500082,1127,1
900131,500082,1755,3
900132,500083,1644,2
900133,500083,1942,1
900134,500084,1423,3
900135,500084,1613,1
900136,500085,1748,3
900137,500086,1759,1
900138,500087,1689,3
900139,500088,1198,1
900140,500089,1780,1
900141,500090,1874,2
900142,500091,1155,1
900143,500092,1097,2
900144,500093,1041,3
900145,500094,1996,2
900146,500094,1174,1
900147,500095,1334,1
900148,500096,1264,1
900149,500096,1801,1
900150,500096,1916,3
900151,500097,1967,1
900152,500097,1598,2
900153,500098,1236,2
900154,500099,1267,2
900155,500100,1289,1
900156,500100,1769,1
900157,500101,1710,1
900158,500101,1329,2
900159,500102,1017,2
900160,500103,1708,1
900161,500104,1168,2
900162,500104,1271,1
900163,500105,1544,2
900164,500105,1867,1
900165,500106,1769,3
900166,500107,1659,1
900167,500107,1949,1
900168,500108,1479,3
900169,500109,1702,1
900170,500110,1219,2
900171,500111,1688,1
900172,500112,1939,1
900173,500112,1390,1
900174,500113,1510,2
900175,500114,1843,1
900176,500115,1662,1
900177,500115,1682,1
900178,500115,1662,1
900179,500116,1501,1
900180,500117,1786,1
900181,500118,1408,1
900182,500118,1610,4
900183,500118,1198,1
900184,500119,1713,2
900185,500120,1242,1
900186,500120,1685,2
900187,500121,1068,10
900188,500122,1502,3
900189,500123,1914,1
900190,500123,1622,1
900191,500124,1074,2
900192,500124,1032,1
900193,500125,1090,2
900194,500126,1388,1
900195,500126,1323,2
900196,500127,1634,1
900197,500127,1959,2
900198,500128,1590,2
900199,500129,1586,1
900200,500130,1653,1
900201,500131,1072,1
900202,500131,1960,1
900203,500131,1662,2
900204,500132,1833,1
900205,500132,1830,4
900206,500133,1675,1
900207,500133,1959,1
900208,500134,1198,3
900209,500135,1757,4
900210,500136,1262,1
900211,500137,1817,3
900212,500138,1736,2
900213,500139,1633,2
900214,500139,1843,2
900215,500140,1070,3
900216,500141,1260,1
900217,500141,1692,2
900218,500142,1422,3
900219,500142,1991,1
900220,500143,1183,2
900221,500143,1936,1
900222,500144,1547,1
900223,500145,1945,3
900224,500146,1514,1
900225,500147,1230,1
900226,500147,1019,3
900227,500148,1830,3
900228,500149,1134,1
900229,500149,1768,2
900230,500150,1885,1
900231,500151,1817,4
900232,500151,1142,1
900233,500152,1250,2
900234,500152,1477,2
900235,500153,1902,3
900236,500154,1984,2
900237,500155,1405,2
900238,500155,1974,1
900239,500156,1681,1
900240,500157,1319,2
900241,500157,1994,2
900242,500158,1160,2
900243,500159,1451,10
900244,500160,1132,1
900245,500160,1118,2
900246,500161,1024,2
900247,500161,1741,1
900248,500162,1524,2
900249,500162,1410,1
900250,500163,1934,1
900251,500164,1057,2
900252,500164,1205,4
900253,500165,1274,3
900254,500165,1082,1
900255,500165,1661,1
900256,500166,1102,1
900257,500166,1219,1
900258,500166,1057,1
900259,500167,1979,4
900260,500167,1601,1
900261,500168,1289,3
900262,500168,1641,2
900263,500169,1621,2
900264,500170,1161,1
900265,500171,1867,3
900266,500171,1754,1
900267,500172,1350,1
900268,500173,1218,1
900269,500173,1012,1
900270,500174,1551,1
900271,500174,1297,1
900272,500175,1994,5
900273,500175,1142,1
900274,500176,1017,1
900275,500177,1693,10
900276,500177,1614,2
900277,500177,1167,2
900278,500178,1061,1
900279,500178,1585,2
900280,500178,1169,3
900281,500179,1662,2
900282,500180,1311,2
900283,500181,1102,1
900284,500181,1544,1
900285,500181,1680,2
900286,500182,1232,1
900287,500182,1491,2
900288,500183,1816,1
900289,500184,1540,1
900290,500185,1602,1
900291,500185,1328,1
900292,500185,1724,1
900293,500186,1941,3
900294,500186,1543,5
900295,500187,1966,5
900296,500187,1048,2
900297,500188,1592,3
900298,500189,1272,1
900299,500189,1420,1
900300,500190,1296,2
900301,500190,1830,4
900302,500191,1784,4
900303,500191,1899,1
900304,500192,1079,2
900305,500193,1507,1
900306,500193,1796,1
900307,500194,1548,1
900308,500195,1968,5
900309,500196,1149,2
900310,500197,1079,2
900311,500198,1162,1
900312,500199,1216,1
900313,500199,1260,1
900314,500200,1831,3
900315,500200,1025,1
900316,500201,1457,1
900317,500202,1155,1
900318,500202,1470,2
900319,500202,1223,2
