order_id,customer_id,order_date,shipping_city,shipping_state,order_status,coupon_code,discount_pct,delivery_days
500001,106643,2025-03-10 00:00:00,Jaipur,Maharashtra,Delivered,NONE,20,6
500002,108613,2025-01-23 00:00:00,Chandigarh,Madhya Pradesh,Delivered,,15,7
500003,112887,2025-12-23 00:00:00,Kanpur,Maharashtra,Shipped,FLASH15,30,7
500004,100810,2025-04-21 00:00:00,Jaipur,Maharashtra,Delivered,NEWUSER,0,3
500005,110217,2026-07-17 00:00:00,Mumbai,Uttar Pradesh,Shipped,WELCOME10,0,15
500006,106899,2025-05-20 00:00:00,Indore,Gujarat,Shipped,SAVE20,15,2
500007,112293,2025-09-08 00:00:00,Noida,Chandigarh,Returned,NONE,15,2
500008,101634,2025-02-11 00:00:00,Jaipur,Tamil Nadu,Cancelled,NONE,20,3
500009,103703,2025-05-14 00:00:00,Chennai,Delhi,Cancelled,FESTIVE25,15,4
500010,115076,2026-04-13 00:00:00,Nagpur,Uttar Pradesh,Delivered,NEWUSER,15,10
500011,110041,2026-02-08 00:00:00,Bhopal,Rajasthan,Cancelled,NONE,10,15
500012,110894,2025-02-09 00:00:00,Patna,Madhya Pradesh,Delivered,SAVE20,150,15
500013,111426,2025-10-07 00:00:00,Nagpur,Maharashtra,Delivered,FLASH15,0,6
500014,116369,2025-06-29 00:00:00,Jaipur,Delhi,Delivered,WELCOME10,0,3
500015,118632,2025-11-29 00:00:00,Ahmedabad,Maharashtra,Delivered,NONE,15,2
500016,100244,2026-02-11 00:00:00,Jaipur,Uttar Pradesh,Delivered,FESTIVE25,25,5
500017,114266,2025-04-11 00:00:00,Delhi,Rajasthan,delivered,NONE,0,5
500018,106917,2025-11-26 00:00:00,Kanpur,Uttar Pradesh,Delivered,NONE,15,5
500019,107304,2026-08-29 00:00:00,Surat,Karnataka,Delivered,NONE,5,6
500020,116784,2025-04-30 00:00:00,Indore,Telangana,Delivered,FESTIVE25,10,2
500021,104132,2026-03-04 00:00:00,Chandigarh,Jharkhand,Processing,WELCOME10,5,4
500022,110576,2025-06-23 00:00:00,Chandigarh,Chandigarh,delivered,NONE,15,2
500023,109123,2025-03-14 00:00:00,Nagpur,Uttar Pradesh,Delivered,,10,3
500024,116457,2026-05-24 00:00:00,Surat,Madhya Pradesh,Delivered,NONE,0,3
500025,104898,2026-06-07 00:00:00,Patna,Madhya Pradesh,delivered,NONE,10,4
500026,103209,2026-08-12 00:00:00,Lucknow,Telangana,Delivered,NEWUSER,5,3
500027,113653,2025-02-25 00:00:00,Surat,Gujarat,Returned,,15,4
500028,106273,2026-03-17 00:00:00,Jaipur,Rajasthan,Delivered,FESTIVE25,10,1
500029,118028,2025-07-23 00:00:00,Bhopal,West Bengal,Returned,SAVE20,20,3
500030,103773,2026-04-10 00:00:00,Bengaluru,Haryana,Delivered,NONE,25,4
500031,108116,2025-06-26 00:00:00,Bhopal,West Bengal,Delivered,NONE,0,5
500032,100219,2025-03-13 00:00:00,Bhopal,Maharashtra,Pending,SAVE20,20,15
500033,111699,2026-02-21 00:00:00,Lucknow,Maharashtra,Returned,NONE,0,6
500034,108699,2025-10-28 00:00:00,Patna,Gujarat,Delivered,NONE,0,1
500035,110792,2025-08-17 00:00:00,Mumbai,Uttar Pradesh,Delivered,NEWUSER,0,3
500036,117746,2025-04-11 00:00:00,Mumbai,Uttar Pradesh,Shipped,NONE,5,3
500037,116510,2025-07-12 00:00:00,Noida,Karnataka,Pending,SAVE20,0,4
500038,114500,2025-06-11 00:00:00,Indore,Maharashtra,Delivered,SAVE20,0,4
500039,105306,2026-05-22 00:00:00,Ranchi,Uttar Pradesh,Shipped,NONE,0,4
500040,104277,2025-03-26 00:00:00,Bhopal,Madhya Pradesh,Shipped,NONE,5,1
500041,110571,2025-12-25 00:00:00,Noida,Maharashtra,Delivered,NONE,15,2
500042,115443,2025-12-11 00:00:00,Kanpur,Haryana,Cancelled,SAVE20,25,2
500043,112237,2025-02-04 00:00:00,Chennai,Madhya Pradesh,delivered,WELCOME10,0,6
500044,104973,2025-03-29 00:00:00,Bhopal,Maharashtra,Delivered,WELCOME10,20,6
500045,108250,2026-03-18 00:00:00,Bhopal,Bihar,Shipped,NONE,0,4
500046,106682,2025-08-24 00:00:00,Hyderabad,Jharkhand,Pending,NONE,15,4
500047,101608,2026-05-30 00:00:00,Bhopal,Telangana,delivered,NONE,10,5
500048,112758,2026-04-22 00:00:00,Noida,Jharkhand,Returned,FLASH15,15,2
500049,107028,2025-07-05 00:00:00,Jaipur,Maharashtra,Shipped,NONE,25,2
