payment_id,order_id,payment_date,payment_method,payment_status,amount
700001,552188,2025-06-09 00:00:00,Credit Card,Success,
700002,500540,2025-05-21 00:00:00,Wallet,Success,72295.81
700003,560428,2025-07-13 00:00:00,upi,Failed,53116.62
700004,564212,2025-10-14 00:00:00,UPI,Failed,63313.69
700005,530197,2026-04-07 00:00:00,Credit Card,,50167.1
700006,545273,2025-03-14 00:00:00,COD,Success,79272.11
700007,545386,2026-02-25 00:00:00,Credit Card,Success,62195.77
700008,505546,2025-01-18 00:00:00,COD,Success,46493.05
700009,572325,2025-05-04 00:00:00,UPI,Success,42668.76
700010,586985,2026-05-26 00:00:00,Debit Card,Success,37383.75
700011,507570,2025-09-09 00:00:00,Net Banking,Success,39142.23
700012,567640,2026-07-15 00:00:00,Credit Card,Failed,12654.03
700013,506240,2026-07-22 00:00:00,UPI,Success,12517.97
700014,579900,2025-08-30 00:00:00,COD,Failed,64850.67
700015,571382,2025-03-13 00:00:00,COD,Success,53222.42
700016,505206,2026-01-19 00:00:00,UPI,,11397.41
700017,523647,2025-10-30 00:00:00,UPI,Success,75077.15
700018,522272,2026-04-20 00:00:00,Wallet,Success,63824.58
700019,541576,2025-06-07 00:00:00,Cash on Delivery,Refunded,68973.67
700020,577371,2025-07-18 00:00:00,UPI,Success,60123.14
700021,569159,2025-01-24 00:00:00,Debit Card,Success,25854.48
700022,539081,2025-09-28 00:00:00,UPI,Success,2434.77
700023,536329,2026-06-13 00:00:00,UPI,Success,71640.04
700024,592560,2025-02-19 00:00:00,Net Banking,Success,17020.02
700025,599574,2026-06-24 00:00:00,UPI,Success,43062.68
700026,528420,2025-09-18 00:00:00,Credit Card,,56144.39
700027,528153,2025-04-13 00:00:00,UPI,Failed,61658.43
700028,581467,2026-03-28 00:00:00,Net Banking,Refunded,40123.24
700029,554617,2026-03-16 00:00:00,UPI,Success,11969.34
700030,575921,2025-01-16 00:00:00,COD,Success,36948.64
700031,534515,2025-06-11 00:00:00,Credit Card,Failed,18445.75
700032,513749,2026-01-27 00:00:00,Cash on Delivery,Success,12418.57
700033,509915,2026-03-03 00:00:00,UPI,Success,75087.05
700034,581230,2026-05-24 00:00:00,Cash on Delivery,Success,43289.72
700035,507005,2025-09-26 00:00:00,COD,Success,31048.86
700036,564890,2026-04-14 00:00:00,Debit Card,Success,65929.4
700037,534135,2025-11-03 00:00:00,Cash on Delivery,Success,33246.74
700038,536460,2025-12-28 00:00:00,Wallet,Success,65623.98
700039,519471,2025-11-13 00:00:00,Debit Card,Failed,58921.82
700040,567452,2025-07-25 00:00:00,,Success,55438.72
700041,580956,2025-11-04 00:00:00,COD,Success,14906.11
700042,529010,2025-08-27 00:00:00,COD,Failed,2703.75
700043,555698,2025-02-16 00:00:00,Credit Card,Success,8561.89
700044,507291,2025-02-28 00:00:00,Wallet,Success,3898.38
700045,577627,2026-04-17 00:00:00,UPI,Success,11019.43
700046,510189,2025-05-16 00:00:00,UPI,Pending,29838.35
700047,510957,2026-01-01 00:00:00,Credit Card,Success,15175.82
700048,526876,2026-05-16 00:00:00,Debit Card,Success,28956.67
700049,566043,2025-09-03 00:00:00,Credit Card,Success,40766.21
700050,551253,2026-05-23 00:00:00,upi,Success,30876.63
700051,595131,2025-03-01 00:00:00,UPI,Success,73869.0
700052,520796,2026-05-13 00:00:00,Credit Card,Success,736.76
700053,555026,2025-09-18 00:00:00,Net Banking,Refunded,60011.77
700054,589448,2025-02-09 00:00:00,Credit Card,Success,73371.21
700055,568292,2026-08-06 00:00:00,Credit Card,Success,13142.11
700056,550106,2025-09-21 00:00:00,UPI,Pending,27254.7
700057,526378,2025-05-28 00:00:00,Wallet,Failed,52586.93
700058,579386,2026-07-06 00:00:00,UPI,Success,47063.61
700059,596002,2026-07-03 00:00:00,UPI,Success,17611.06
700060,533251,2025-08-27 00:00:00,COD,Success,61676.1
700061,504475,2026-07-12 00:00:00,Credit Card,Success,55781.9
700062,555144,2025-12-21 00:00:00,UPI,Success,54602.03
700063,560767,2025-05-25 00:00:00,Debit Card,Failed,4344.2
700064,556263,2025-12-01 00:00:00,UPI,Success,67520.83
700065,523540,2025-12-07 00:00:00,COD,Failed,32398.84
700066,516105,2026-04-05 00:00:00,Credit Card,Refunded,23165.75
700067,537638,2025-10-05 00:00:00,upi,Success,884.32
700068,512051,2025-04-01 00:00:00,,Failed,26081.57
700069,580115,2025-07-13 00:00:00,UPI,Success,56738.73
700070,528844,2026-05-10 00:00:00,upi,Failed,30597.92
700071,528113,2026-05-06 00:00:00,Credit Card,Success,15980.14
700072,528479,2025-12-10 00:00:00,COD,Success,3821.87
700073,541555,2026-08-09 00:00:00,upi,Success,23002.15
700074,509038,2026-06-02 00:00:00,UPI,Success,49603.44
700075,528532,2026-08-13 00:00:00,UPI,Success,79918.36
