review_id,order_id,customer_id,product_id,rating,review_date,review_text
800001,586857,100558,1182,3,2026-05-16,Good product
800002,514286,105463,1696,5,2025-09-27,Excellent
800003,514936,103864,1158,2,2025-07-28,Excellent
800004,540979,118194,1908,3,2026-03-12,Excellent
800005,569191,109361,1679,4,2025-12-30,Average
800006,582222,116374,1699,5,2026-01-30,Good product
800007,504354,110873,1271,5,2025-07-24,Excellent
800008,517155,111099,1847,5,2025-09-09,Excellent
800009,559284,111301,1099,5,2025-07-20,Excellent
800010,565815,106295,1090,5,2026-01-23,Excellent
800011,542130,100772,1531,1,2025-04-12,Excellent
800012,500248,115126,1226,4,2025-02-09,Excellent
800013,545135,111005,1521,3,2025-11-01,Excellent
800014,573847,114361,1618,1,2025-05-13,Good product
800015,521713,103078,1874,4,2025-02-17,Excellent
800016,526493,116427,1536,4,2026-05-22,Average
800017,583428,111746,1647,4,2026-01-15,Not satisfied
800018,587877,101043,1008,4,2025-08-30,Good product
800019,578182,115499,1846,4,2026-02-12,
800020,558281,117773,1914,3,2026-09-04,Average
800021,587335,117843,1260,3,2025-08-29,Excellent
800022,563131,119468,1712,4,2026-06-01,Not satisfied
800023,599478,118897,1304,4,2025-06-22,Excellent
800024,550739,105701,1539,5,2025-01-08,Excellent
800025,568694,113300,1140,4,2026-02-26,Good product
800026,533180,109274,1868,3,2025-05-11,Good product
800027,560218,116697,1422,5,2025-06-24,Excellent
800028,518931,101739,1352,4,2025-05-27,Average
800029,589688,106562,1391,5,2025-03-27,Good product
800030,571755,116743,1923,2,2026-04-11,Average
800031,598112,118147,1766,5,2026-03-07,Average
800032,582310,116488,1742,4,2025-03-20,Average
800033,588421,115720,1027,5,2026-02-19,Good product
800034,599709,117415,1368,5,2025-06-22,Average
800035,535988,117520,1182,3,2025-12-19,Average
800036,523295,105272,1628,3,2026-07-22,Good product
800037,543458,102411,1864,3,2025-04-26,Excellent
800038,551173,100802,1174,3,2025-05-24,Average
800039,590547,117398,1081,5,2025-09-07,Good product
800040,579795,116320,1761,1,2025-10-11,Average
800041,528277,109974,1203,5,2025-02-13,Excellent
800042,534618,100038,1746,5,2025-10-23,Excellent
800043,544057,117371,1380,3,2025-10-07,Excellent
800044,500299,107477,1418,3,2025-01-23,Excellent
800045,549728,113909,1445,3,2026-03-05,
800046,524301,119987,1983,4,2026-05-24,Good product
800047,548754,106699,1300,3,2025-08-03,Excellent
800048,515975,103967,1798,3,2025-05-23,Excellent
800049,568004,109602,1275,2,2025-10-26,Good product
800050,572202,114773,1589,5,2026-07-15,Good product
800051,550128,101664,1205,5,2026-02-17,Average
800052,554222,109196,1274,4,2025-10-05,Good product
800053,572606,104843,1668,5,2025-10-08,Good product
800054,599915,100531,1931,5,2026-03-05,Not satisfied
800055,593561,119136,1861,5,2025-06-05,Very poor
800056,559789,110661,1939,5,2025-09-11,Excellent
800057,570493,110248,1501,2,2025-11-11,Excellent
800058,593481,111665,1863,3,2025-03-03,Very poor
800059,513533,118517,1268,4,2026-08-30,Average
800060,549238,108020,1140,5,2026-06-13,Very poor
800061,582784,117275,1054,5,2026-01-14,Not satisfied
800062,568473,104232,1723,5,2025-04-28,Excellent
800063,586859,114245,1204,5,2025-10-30,Average
800064,552389,112298,1948,4,2026-05-28,Good product
800065,519146,111452,1290,5,2025-06-21,Very poor
800066,548237,107802,1986,4,2026-01-04,Very poor
800067,510261,104061,1308,5,2026-02-02,Good product
800068,552322,119235,1798,5,2025-05-01,Excellent
800069,583408,113489,1752,3,2025-05-26,Average
800070,556150,107036,1857,4,2025-12-16,Good product
800071,579603,102512,1434,3,2026-08-24,Average
800072,565503,111405,1084,1,2025-01-18,Average
800073,553519,106465,1132,2,2025-03-24,Excellent
800074,504962,112568,1099,4,2026-05-03,Average
800075,574701,111128,1955,4,2025-07-17,Average
800076,537946,112183,1856,2,2025-11-15,Good product
800077,582983,114318,1858,5,2026-05-31,Good product
800078,506978,114044,1491,4,2025-02-21,Average
800079,523295,116551,1058,3,2026-05-22,Excellent
800080,545598,119389,1354,5,2025-10-24,Good product
800081,503727,118921,1080,5,2026-08-06,Excellent
800082,541124,106850,1921,4,2025-04-24,Excellent
800083,504021,119526,1227,5,2025-04-13,Average
800084,548661,113097,1338,4,2025-12-10,Excellent
800085,578121,110985,1282,4,2025-01-26,Good product
800086,581847,112708,1920,5,2025-06-30,Good product
800087,511733,117944,1213,5,2025-05-02,Excellent
800088,515623,112285,1584,4,2025-07-10,Good product
800089,577649,116912,1777,4,2026-08-02,Excellent
800090,546689,105216,1801,3,2026-02-19,
800091,521237,119937,1133,4,2025-08-22,
800092,585673,100674,1124,4,2026-07-20,
800093,526118,101915,1583,4,2025-01-30,
800094,517732,104310,1787,2,2025-02-28,Average
800095,553992,112144,1145,2,2025-07-26,Good product
800096,584515,115611,1093,5,2026-08-17,
800097,506859,103203,1504,4,2025-01-06,Excellent
800098,537777,104407,1429,5,2025-11-28,Excellent
800099,579668,117952,1721,4,2025-06-14,Not satisfied
800100,500461,101527,1728,2,2026-08-04,
800101,579934,107977,1809,5,2025-01-27,
800102,557573,119453,1198,3,2025-01-13,Very poor
800103,561216,111142,1330,5,2026-02-25,Excellent
800104,551537,119899,1676,4,2025-09-21,Average
800105,551122,114441,1001,6,2025-05-28,Good product
800106,500940,101448,1226,4,2025-07-28,Good product
800107,554893,109402,1878,5,2026-03-12,Good product
800108,543834,103822,1463,4,2025-06-15,
800109,544657,104065,1792,5,2025-12-17,Good product
800110,580533,106429,1542,3,2025-06-23,Average
800111,516654,113814,1838,5,2025-09-16,Excellent
800112,589010,102260,1315,4,2025-02-06,Excellent
800113,594205,112338,1297,4,2026-01-07,Average
